net,length_um
_2893_,73.72µm
net401,73.72µm
_2136_,73.68µm
net173,73.5µm
net546,73.48µm
net104,73.06µm
net331,72.94µm
_2317_,72.84µm
clknet_leaf_25_aclk,72.84µm
_2887_,72.8µm
u_write_arbiter.aw_buf_addr\[83\],72.66µm
net883,72.54µm
net29,72.26µm
net875,72.08µm
u_write_arbiter.aw_buf_addr\[26\],72µm
_1054_,71.98µm
_2389_,71.8µm
_2027_,71.58µm
net547,71.38µm
_2270_,71.16µm
_2783_,70.815µm
_3012_,70.78µm
clknet_leaf_79_aclk,70.62µm
net299,70.54µm
_0597_,70.5µm
net492,70.42µm
clknet_leaf_51_aclk,70.12µm
_2126_,69.98µm
_1101_,69.97µm
_3159_,69.92µm
_2146_,69.76µm
clknet_leaf_3_aclk,69.68µm
_1991_,69.66µm
_0545_,69.54µm
clknet_leaf_77_aclk,69.48µm
clknet_leaf_21_aclk,69.25µm
net487,68.8µm
_3176_,68.64µm
net320,68.26µm
_2296_,68.14µm
net486,68.02µm
_1668_,68µm
_2532_,67.88µm
_2896_,67.78µm
_1061_,67.08µm
net592,67.04µm
net342,66.98µm
net197,66.96µm
clknet_leaf_14_aclk,66.95µm
u_write_arbiter.aw_buf_addr\[115\],66.74µm
_1945_,66.56µm
net890,66.48µm
_1917_,66.46µm
_1475_,66.38µm
net393,66.26µm
_1111_,65.77µm
u_write_arbiter.w_buf_data\[70\],65.38µm
clknet_leaf_2_aclk,65.34µm
_1224_,65.24µm
net452,65.24µm
net273,65.18µm
_1745_,65.12µm
_0658_,65.04µm
net284,64.82µm
net105,64.7µm
u_read_arbiter.u_read_qos.current_master\[1\],64.6µm
net54,64.36µm
net270,64.36µm
_0635_,64.32µm
u_write_arbiter.aw_buf_addr\[42\],64.155µm
clknet_leaf_56_aclk,64.04µm
clknet_leaf_94_aclk,63.86µm
_1271_,63.8µm
_1263_,63.68µm
_2511_,63.6µm
net311,63.6µm
_1563_,63.48µm
net111,63.32µm
net697,63.27µm
_2131_,63.26µm
clknet_leaf_18_aclk,62.74µm
u_write_arbiter.w_buf_data\[122\],62.52µm
_1546_,62.22µm
_2506_,61.59µm
net198,61.56µm
u_read_arbiter.u_read_qos.current_master\[0\],61.28µm
_1109_,61.06µm
_0534_,60.8µm
net598,60.79µm
_0602_,60.76µm
u_read_arbiter.u_read_qos.m0_burst_count\[7\],60.6µm
_2138_,60.48µm
u_write_arbiter.w_buf_data\[111\],60.42µm
net300,60.04µm
_1358_,59.78µm
_0824_,59.72µm
net449,59.7µm
_1594_,59.68µm
net121,59.68µm
u_write_arbiter.aw_buf_addr\[29\],59.6µm
net319,59.54µm
clknet_leaf_40_aclk,59.24µm
_1357_,59.2µm
u_write_arbiter.aw_buf_addr\[43\],59.19µm
net37,58.98µm
clknet_leaf_4_aclk,58.94µm
_2120_,58.92µm
net477,58.9µm
_2330_,58.72µm
_2912_,58.62µm
_1184_,58.56µm
net734,58.32µm
_2067_,58.3µm
net774,58.3µm
clknet_leaf_83_aclk,58.26µm
net411,58.1µm
_0993_,57.76µm
net414,57.74µm
_3162_,57.7µm
clknet_leaf_12_aclk,57.64µm
_1995_,57.56µm
net655,57.42µm
clknet_leaf_73_aclk,57.18µm
_2141_,57.02µm
clknet_leaf_78_aclk,56.925µm
_1521_,56.74µm
_1876_,56.52µm
clknet_leaf_13_aclk,56.52µm
_2254_,56.5µm
clknet_leaf_88_aclk,56.38µm
_2118_,56.2µm
u_write_arbiter.w_buf_data\[6\],56.06µm
_3083_,56.02µm
_0578_,55.82µm
_2972_,55.76µm
net67,55.7µm
clknet_leaf_47_aclk,55.7µm
_0562_,55.64µm
clknet_leaf_65_aclk,55.56µm
clknet_leaf_10_aclk,55.48µm
u_write_arbiter.w_buf_data\[48\],55.24µm
clknet_leaf_99_aclk,55.22µm
net78,55.08µm
_0740_,55.06µm
u_write_arbiter.w_buf_data\[31\],55.02µm
net141,55.02µm
net186,54.98µm
_3066_,54.8µm
_1615_,54.74µm
u_write_arbiter.w_buf_data\[105\],54.74µm
_2930_,54.58µm
u_write_arbiter.w_buf_data\[81\],54.58µm
u_read_arbiter.u_read_qos.budget_2\[3\],54.46µm
clknet_leaf_82_aclk,54.26µm
_2509_,54.22µm
_2210_,54.12µm
u_write_arbiter.u_write_qos.current_master\[0\],54.06µm
_1598_,54µm
_1072_,53.72µm
u_write_arbiter.u_write_qos.age_m3\[4\],53.68µm
_1356_,53.06µm
clknet_leaf_69_aclk,53µm
clknet_leaf_28_aclk,52.92µm
_3139_,52.89µm
_0525_,52.84µm
clknet_leaf_74_aclk,52.58µm
_2379_,52.56µm
clknet_leaf_62_aclk,52.42µm
_1614_,52.32µm
net267,52.32µm
clknet_leaf_80_aclk,52.28µm
u_write_arbiter.aw_buf_addr\[31\],52.26µm
_1163_,52.18µm
_3226_,51.92µm
clknet_leaf_53_aclk,51.86µm
_3133_,51.67µm
_0605_,51.6µm
clknet_leaf_35_aclk,51.55µm
net678,51.48µm
_0642_,51.22µm
u_write_arbiter.w_buf_strb\[12\],51.08µm
_2156_,51µm
net50,50.82µm
net668,50.68µm
clknet_leaf_61_aclk,50.48µm
u_write_arbiter.w_buf_data\[106\],50.16µm
_1129_,50.05µm
_1922_,49.86µm
_2920_,49.86µm
clknet_leaf_59_aclk,49.86µm
clknet_leaf_19_aclk,49.82µm
clknet_leaf_71_aclk,49.7µm
net73,49.38µm
_2792_,49.32µm
_1582_,49.24µm
u_write_arbiter.aw_buf_addr\[82\],49.16µm
net45,48.94µm
_3024_,48.9µm
_1073_,48.8µm
_0592_,48.48µm
u_write_arbiter.u_write_qos.m0_burst_count\[1\],48.38µm
net394,48.2µm
net712,48.18µm
clknet_leaf_57_aclk,48.18µm
u_read_arbiter.u_read_qos.m0_burst_count\[5\],47.92µm
u_read_arbiter.u_read_qos.age_m2\[0\],47.76µm
clknet_leaf_38_aclk,47.74µm
_3072_,47.4µm
u_write_arbiter.w_buf_data\[17\],47.4µm
net245,47.36µm
u_write_arbiter.w_buf_data\[43\],47.34µm
net180,47.3µm
net306,47.28µm
_0718_,47.15µm
_0982_,47.13µm
_1662_,47.08µm
net770,47.06µm
net212,46.8µm
net447,46.42µm
_2421_,46.36µm
net853,46.3µm
u_write_arbiter.aw_buf_addr\[57\],46.28µm
_0819_,46.2µm
_2114_,46.2µm
net455,46.08µm
_0536_,46.06µm
u_read_arbiter.owner_id_r\[1\],46.06µm
_0814_,46.04µm
_1574_,45.6µm
net726,45.4µm
_2866_,45.14µm
net210,45.12µm
_0673_,45.08µm
_1649_,45.08µm
u_write_arbiter.aw_buf_addr\[52\],44.92µm
u_read_arbiter.u_read_qos.m0_burst_count\[4\],44.78µm
net490,44.76µm
net493,44.76µm
_3224_,44.72µm
_3187_,44.64µm
_1063_,44.42µm
