net,length_um
_0623_,8.56µm
_1200_,8.56µm
_1740_,8.56µm
_3214_,8.56µm
u_write_arbiter.w_buf_data\[34\],8.54µm
s_axi_wdata[94],8.53µm
_1425_,8.52µm
_2207_,8.52µm
_2675_,8.52µm
_2861_,8.52µm
_2895_,8.52µm
_1354_,8.5µm
_2664_,8.5µm
m_axi_awaddr[27],8.5µm
m_axi_awaddr[30],8.5µm
m_axi_awaddr[40],8.5µm
m_axi_awaddr[54],8.5µm
m_axi_awaddr[59],8.5µm
m_axi_awaddr[9],8.5µm
m_axi_awvalid[0],8.5µm
u_write_arbiter.w_buf_data\[50\],8.49µm
_3019_,8.48µm
_3086_,8.48µm
_3108_,8.48µm
net631,8.48µm
net997,8.48µm
_0770_,8.46µm
_0913_,8.44µm
_1697_,8.44µm
_1789_,8.44µm
_2041_,8.44µm
_2321_,8.44µm
_3075_,8.44µm
_3215_,8.44µm
u_write_arbiter.aw_buf_addr\[39\],8.44µm
u_write_arbiter.aw_buf_prot\[2\],8.44µm
_1769_,8.42µm
_0672_,8.4µm
_1008_,8.4µm
_2206_,8.4µm
_2974_,8.4µm
net990,8.4µm
net1018,8.4µm
_0835_,8.38µm
_1750_,8.38µm
_2408_,8.38µm
_2753_,8.38µm
u_write_arbiter.aw_buf_addr\[8\],8.38µm
_1663_,8.36µm
_1754_,8.36µm
_2557_,8.36µm
_2641_,8.36µm
_2656_,8.36µm
_2796_,8.36µm
net1069,8.36µm
u_write_arbiter.w_buf_data\[18\],8.34µm
_1170_,8.32µm
u_write_arbiter.w_buf_data\[102\],8.32µm
u_write_arbiter.w_buf_data\[127\],8.32µm
net1068,8.32µm
net1103,8.32µm
_2814_,8.3µm
u_write_arbiter.aw_buf_addr\[3\],8.3µm
s_axi_rdata[72],8.29µm
_2150_,8.28µm
_2155_,8.28µm
_2413_,8.28µm
_2852_,8.28µm
net368,8.28µm
_3097_,8.27µm
_0148_,8.26µm
_2692_,8.26µm
s_axi_awaddr[70],8.26µm
s_axi_awaddr[90],8.26µm
u_write_arbiter.w_buf_data\[25\],8.26µm
_0510_,8.245µm
_0427_,8.24µm
_1274_,8.24µm
_0429_,8.22µm
_0437_,8.22µm
_0881_,8.2µm
_2367_,8.2µm
u_write_arbiter.aw_buf_prot\[11\],8.2µm
_0474_,8.18µm
s_axi_araddr[88],8.17µm
_0079_,8.16µm
_0329_,8.16µm
net886,8.16µm
_0469_,8.14µm
_0609_,8.14µm
_1953_,8.14µm
u_write_arbiter.aw_buf_addr\[70\],8.14µm
u_write_arbiter.w_buf_data\[68\],8.14µm
u_write_arbiter.aw_buf_addr\[106\],8.12µm
_0347_,8.1µm
_1479_,8.1µm
_1954_,8.1µm
_1983_,8.1µm
_2320_,8.1µm
_2619_,8.1µm
_2712_,8.1µm
u_write_arbiter.aw_buf_addr\[2\],8.1µm
net950,8.1µm
net1014,8.1µm
_1612_,8.08µm
_0513_,8.06µm
_2655_,8.06µm
s_axi_arvalid[1],8.05µm
s_axi_awprot[3],8.05µm
s_axi_rresp[0],8.05µm
s_axi_wdata[57],8.05µm
s_axi_wdata[79],8.05µm
s_axi_wdata[80],8.05µm
s_axi_wdata[91],8.05µm
_1634_,8.04µm
_2560_,8.04µm
m_axi_awaddr[10],8.04µm
m_axi_awaddr[13],8.04µm
m_axi_awaddr[19],8.04µm
m_axi_awaddr[32],8.04µm
s_axi_awready[0],8.04µm
s_axi_awready[1],8.04µm
m_axi_wdata[2],8.03µm
_1868_,8.02µm
_2538_,8.02µm
_3018_,8.02µm
net895,8.02µm
net960,8.02µm
s_axi_wdata[85],8.01µm
_1709_,8µm
net1209,8µm
_1035_,7.98µm
_1691_,7.98µm
_1966_,7.98µm
_2736_,7.98µm
_2933_,7.98µm
u_write_arbiter.w_buf_data\[91\],7.98µm
net929,7.98µm
_0649_,7.94µm
_1227_,7.94µm
_2412_,7.94µm
_2722_,7.94µm
_2749_,7.94µm
_2767_,7.94µm
net42,7.94µm
net93,7.94µm
net258,7.94µm
net1122,7.94µm
u_write_arbiter.aw_buf_valid\[0\],7.92µm
_0816_,7.9µm
_1089_,7.9µm
_1768_,7.9µm
_1835_,7.9µm
_2368_,7.9µm
_2482_,7.9µm
u_write_arbiter.aw_buf_addr\[9\],7.9µm
_0539_,7.88µm
_1397_,7.86µm
_1947_,7.86µm
net288,7.86µm
_0058_,7.82µm
_1216_,7.82µm
net450,7.82µm
cfg_age_threshold[0],7.81µm
s_axi_wstrb[3],7.79µm
_0104_,7.78µm
_0861_,7.78µm
u_write_arbiter.u_write_qos.age_m2\[5\],7.78µm
_1685_,7.765µm
_0152_,7.76µm
_0967_,7.76µm
net1138,7.76µm
_0583_,7.74µm
_1253_,7.74µm
_2983_,7.74µm
_2787_,7.735µm
_0022_,7.72µm
_0663_,7.7µm
_1713_,7.7µm
net495,7.7µm
net837,7.7µm
net892,7.7µm
s_axi_araddr[29],7.69µm
_0335_,7.68µm
_0571_,7.68µm
_0884_,7.68µm
_1127_,7.68µm
_1235_,7.68µm
net804,7.68µm
_0685_,7.66µm
_0696_,7.66µm
_1159_,7.66µm
_1219_,7.66µm
_2269_,7.66µm
u_write_arbiter.aw_buf_valid\[1\],7.66µm
_1903_,7.64µm
_2637_,7.64µm
_2701_,7.64µm
_2709_,7.64µm
net1076,7.64µm
_0522_,7.635µm
s_axi_bresp[2],7.61µm
_0733_,7.6µm
_1454_,7.6µm
_1503_,7.6µm
_1555_,7.6µm
_1610_,7.6µm
_2026_,7.6µm
net727,7.6µm
_0906_,7.58µm
_0978_,7.58µm
_1114_,7.58µm
_2316_,7.58µm
m_axi_awaddr[24],7.58µm
m_axi_awaddr[41],7.58µm
m_axi_awprot[1],7.58µm
m_axi_awprot[2],7.58µm
net49,7.58µm
net362,7.58µm
_0497_,7.56µm
_1742_,7.56µm
_2263_,7.56µm
_2595_,7.56µm
_2661_,7.56µm
_2665_,7.56µm
_2673_,7.56µm
_2721_,7.56µm
net318,7.56µm
_0815_,7.54µm
_0994_,7.54µm
_1739_,7.54µm
_2754_,7.54µm
_0842_,7.52µm
_0853_,7.52µm
_1098_,7.52µm
_1378_,7.52µm
_1810_,7.52µm
_2235_,7.52µm
_2319_,7.52µm
_2502_,7.52µm
_2808_,7.52µm
_2865_,7.52µm
_3080_,7.52µm
u_write_arbiter.aw_buf_addr\[6\],7.52µm
u_write_arbiter.w_buf_data\[24\],7.52µm
u_write_arbiter.w_buf_data\[7\],7.52µm
u_write_arbiter.w_buf_data\[90\],7.52µm
net44,7.52µm
net285,7.52µm
net291,7.52µm
net457,7.52µm
_3014_,7.5µm
s_axi_araddr[54],7.49µm
_2475_,7.48µm
_2885_,7.48µm
_2935_,7.48µm
net329,7.48µm
net1034,7.48µm
net1112,7.48µm
_1122_,7.46µm
u_write_arbiter.u_write_qos.age_m3\[5\],7.46µm
s_axi_arprot[8],7.45µm
_2607_,7.44µm
_1222_,7.4µm
_2507_,7.4µm
s_axi_araddr[34],7.37µm
s_axi_awaddr[109],7.37µm
s_axi_awaddr[110],7.37µm
s_axi_awaddr[58],7.37µm
s_axi_wdata[77],7.37µm
s_axi_wdata[84],7.37µm
s_axi_wdata[92],7.37µm
_3140_,7.36µm
s_axi_bresp[0],7.35µm
_0619_,7.34µm
net53,7.34µm
s_axi_araddr[58],7.33µm
s_axi_araddr[5],7.33µm
s_axi_araddr[76],7.33µm
s_axi_rdata[65],7.33µm
_1749_,7.32µm
_1890_,7.32µm
u_write_arbiter.aw_buf_addr\[71\],7.32µm
net1146,7.32µm
_0197_,7.3µm
_0411_,7.3µm
_0713_,7.29µm
_0888_,7.28µm
_0897_,7.28µm
_1972_,7.24µm
_1984_,7.24µm
net1116,7.24µm
_0082_,7.22µm
_0243_,7.22µm
_0286_,7.22µm
_0785_,7.22µm
_1147_,7.22µm
_1443_,7.22µm
_1449_,7.22µm
_2227_,7.22µm
net647,7.22µm
net1077,7.22µm
_0073_,7.21µm
_1809_,7.2µm
_2716_,7.2µm
_2770_,7.2µm
_0517_,7.19µm
_0289_,7.18µm
_0725_,7.18µm
_0985_,7.18µm
_1019_,7.18µm
_1317_,7.18µm
_1369_,7.18µm
_1736_,7.18µm
_1908_,7.18µm
_1915_,7.18µm
_2419_,7.18µm
_2479_,7.18µm
_2486_,7.18µm
_2769_,7.18µm
net91,7.18µm
net1098,7.18µm
s_axi_araddr[85],7.15µm
_1850_,7.14µm
cfg_weight_m2[0],7.13µm
m_axi_awaddr[49],7.13µm
s_axi_araddr[62],7.13µm
_1695_,7.12µm
_1759_,7.12µm
_2135_,7.12µm
_2622_,7.12µm
_2855_,7.12µm
_2985_,7.12µm
_0801_,7.1µm
_1177_,7.1µm
_1664_,7.1µm
_2160_,7.1µm
_2298_,7.1µm
_2581_,7.1µm
_2708_,7.1µm
_2740_,7.1µm
_3092_,7.1µm
_3146_,7.1µm
_3208_,7.1µm
net302,7.1µm
net649,7.1µm
net816,7.1µm
_0892_,7.08µm
u_read_arbiter.u_read_qos.age_m2\[5\],7.08µm
_0963_,7.06µm
_1074_,7.06µm
_1438_,7.06µm
_1712_,7.06µm
_1884_,7.06µm
_1999_,7.06µm
_2194_,7.06µm
_2612_,7.06µm
_2843_,7.06µm
_2915_,7.06µm
_3148_,7.06µm
net704,7.06µm
_2157_,7.04µm
_2731_,7.04µm
net629,7.04µm
s_axi_rvalid[3],7.03µm
s_axi_wvalid[0],7.03µm
_1902_,7µm
_2968_,7µm
_0871_,6.98µm
_1120_,6.98µm
_2399_,6.98µm
_2432_,6.98µm
_2679_,6.98µm
_2706_,6.98µm
net298,6.96µm
net474,6.94µm
_1264_,6.9µm
net1192,6.9µm
_0275_,6.88µm
_0301_,6.88µm
_0482_,6.88µm
_2524_,6.88µm
net968,6.88µm
_0258_,6.86µm
_2386_,6.86µm
net1051,6.86µm
_0177_,6.84µm
_0293_,6.84µm
_0366_,6.84µm
_0882_,6.84µm
_0576_,6.82µm
_1726_,6.82µm
_1764_,6.82µm
s_axi_araddr[59],6.79µm
_1798_,6.78µm
cfg_age_threshold[1],6.77µm
s_axi_araddr[86],6.77µm
s_axi_awvalid[2],6.77µm
_0070_,6.76µm
_0149_,6.76µm
_0470_,6.76µm
_0480_,6.76µm
_0520_,6.76µm
_0730_,6.76µm
_1187_,6.76µm
_1272_,6.76µm
_1439_,6.76µm
_1985_,6.76µm
_2099_,6.76µm
_2464_,6.76µm
_2555_,6.76µm
_2630_,6.76µm
_3122_,6.76µm
_0716_,6.74µm
u_write_arbiter.w_buf_data\[36\],6.74µm
u_write_arbiter.w_buf_valid\[3\],6.74µm
_0096_,6.72µm
_0108_,6.72µm
_0543_,6.72µm
_1628_,6.72µm
_1670_,6.72µm
_1753_,6.72µm
_1931_,6.72µm
_2127_,6.72µm
_2348_,6.72µm
_2898_,6.72µm
_2908_,6.72µm
net788,6.72µm
net1032,6.72µm
net1073,6.72µm
net1147,6.72µm
net1162,6.72µm
s_axi_rdata[61],6.69µm
s_axi_wdata[7],6.69µm
s_axi_wdata[88],6.69µm
s_axi_wstrb[1],6.69µm
m_axi_bresp[0],6.67µm
_0274_,6.66µm
_0817_,6.66µm
_2179_,6.66µm
_2299_,6.66µm
_2312_,6.66µm
_2747_,6.66µm
net82,6.66µm
net634,6.66µm
m_axi_wdata[56],6.65µm
s_axi_rdata[8],6.65µm
s_axi_wstrb[4],6.65µm
_0151_,6.64µm
_0828_,6.64µm
_0873_,6.64µm
_1182_,6.64µm
_2203_,6.64µm
_2273_,6.64µm
_2382_,6.64µm
_2577_,6.64µm
_2597_,6.64µm
_2816_,6.64µm
_3218_,6.64µm
u_write_arbiter.u_write_qos.age_m1\[3\],6.64µm
net58,6.64µm
net706,6.64µm
net874,6.64µm
net887,6.64µm
net993,6.64µm
net1111,6.64µm
_0867_,6.62µm
_1731_,6.62µm
_2657_,6.62µm
_0862_,6.6µm
_1025_,6.6µm
_1230_,6.6µm
_1364_,6.6µm
_1914_,6.6µm
_2040_,6.6µm
_2153_,6.6µm
_2570_,6.6µm
_2588_,6.6µm
_2658_,6.6µm
_2686_,6.6µm
_2987_,6.6µm
_3165_,6.6µm
u_write_arbiter.aw_buf_addr\[104\],6.6µm
net693,6.6µm
net794,6.6µm
net795,6.6µm
net1037,6.6µm
_2732_,6.58µm
u_write_arbiter.aw_buf_addr\[5\],6.54µm
_0225_,6.52µm
_0567_,6.52µm
_1686_,6.52µm
_1743_,6.52µm
_2648_,6.52µm
u_write_arbiter.w_buf_valid\[1\],6.52µm
net622,6.52µm
_0711_,6.5µm
_1259_,6.5µm
_2535_,6.5µm
_0018_,6.48µm
_0218_,6.48µm
_1990_,6.48µm
net1096,6.44µm
_0123_,6.42µm
_0361_,6.42µm
_1175_,6.42µm
_2260_,6.42µm
_3101_,6.42µm
_1086_,6.4µm
_1390_,6.4µm
_1806_,6.4µm
u_write_arbiter.aw_buf_addr\[96\],6.4µm
_2328_,6.39µm
_0113_,6.38µm
_0263_,6.38µm
_0368_,6.38µm
_0413_,6.38µm
_0490_,6.38µm
_0661_,6.36µm
_1051_,6.36µm
u_read_arbiter.r_state\[1\],6.36µm
_0537_,6.32µm
_0654_,6.32µm
_0968_,6.32µm
net911,6.32µm
net987,6.32µm
s_axi_araddr[123],6.31µm
s_axi_araddr[23],6.31µm
s_axi_araddr[43],6.31µm
s_axi_araddr[44],6.31µm
s_axi_araddr[57],6.31µm
s_axi_araddr[7],6.31µm
s_axi_araddr[97],6.31µm
s_axi_rdata[86],6.31µm
s_axi_wvalid[2],6.31µm
_0195_,6.305µm
_0026_,6.3µm
_0215_,6.3µm
_0486_,6.3µm
_0943_,6.3µm
_1113_,6.3µm
_1273_,6.3µm
_1735_,6.3µm
_2014_,6.3µm
_2698_,6.3µm
_2890_,6.3µm
_3134_,6.3µm
u_write_arbiter.aw_buf_addr\[114\],6.3µm
net793,6.3µm
net922,6.3µm
net1015,6.3µm
_0086_,6.26µm
_0493_,6.26µm
_0860_,6.26µm
_0947_,6.26µm
_1168_,6.26µm
_1461_,6.26µm
_1578_,6.26µm
_1688_,6.26µm
_1778_,6.26µm
_1909_,6.26µm
_2735_,6.26µm
_2744_,6.26µm
_2772_,6.26µm
_2874_,6.26µm
_2960_,6.26µm
u_read_arbiter.u_read_qos.age_m1\[3\],6.26µm
net717,6.26µm
net796,6.26µm
net1074,6.26µm
net1124,6.26µm
net1161,6.26µm
_2208_,6.2µm
_2253_,6.2µm
_2662_,6.2µm
_2755_,6.2µm
net77,6.2µm
_0232_,6.18µm
_0601_,6.18µm
_0997_,6.18µm
_1337_,6.18µm
_1519_,6.18µm
_1684_,6.18µm
_1838_,6.18µm
_2396_,6.18µm
_2483_,6.18µm
_2548_,6.18µm
_2574_,6.18µm
_3000_,6.18µm
_3034_,6.18µm
net145,6.18µm
net818,6.18µm
_0915_,6.16µm
_1164_,6.16µm
_2248_,6.16µm
net1127,6.16µm
_0921_,6.14µm
_0933_,6.14µm
_1435_,6.14µm
_1596_,6.14µm
_1807_,6.14µm
_1929_,6.14µm
_1942_,6.14µm
_2158_,6.14µm
_2229_,6.14µm
_2452_,6.14µm
_2474_,6.14µm
_2611_,6.14µm
_2682_,6.14µm
_2691_,6.14µm
_2697_,6.14µm
_2776_,6.14µm
_2778_,6.14µm
_2927_,6.14µm
_3132_,6.14µm
_3158_,6.14µm
u_write_arbiter.aw_buf_addr\[72\],6.14µm
u_write_arbiter.aw_buf_prot\[8\],6.14µm
net399,6.14µm
net1013,6.14µm
net1144,6.14µm
cfg_age_threshold[2],6.09µm
cfg_age_threshold[7],6.09µm
cfg_weight_m1[2],6.09µm
cfg_weight_m2[1],6.09µm
s_axi_araddr[75],6.09µm
s_axi_araddr[79],6.09µm
_2387_,6.08µm
net446,6.08µm
net542,6.08µm
_0115_,6.06µm
_0420_,6.06µm
_0465_,6.06µm
_0831_,6.06µm
_1331_,6.06µm
_1694_,6.06µm
_1880_,6.06µm
_2876_,6.06µm
_2940_,6.06µm
u_write_arbiter.w_buf_data\[40\],6.06µm
net579,6.06µm
net1050,6.06µm
_1446_,6.04µm
_0317_,6.02µm
_0404_,6.02µm
_0971_,6.02µm
net998,6.02µm
_2846_,5.98µm
_3063_,5.98µm
m_axi_awaddr[18],5.97µm
m_axi_wdata[36],5.97µm
s_axi_araddr[27],5.97µm
s_axi_araddr[46],5.97µm
s_axi_araddr[65],5.97µm
s_axi_araddr[67],5.97µm
s_axi_araddr[68],5.97µm
s_axi_arvalid[0],5.97µm
s_axi_awaddr[108],5.97µm
s_axi_awprot[6],5.97µm
s_axi_awprot[7],5.97µm
s_axi_awprot[8],5.97µm
s_axi_bready[0],5.97µm
s_axi_rdata[57],5.97µm
s_axi_wdata[97],5.97µm
s_axi_wstrb[5],5.97µm
s_axi_wstrb[7],5.97µm
s_axi_wstrb[9],5.97µm
_0214_,5.965µm
_0210_,5.96µm
_0471_,5.96µm
_1441_,5.96µm
_2209_,5.96µm
_3107_,5.96µm
_0532_,5.94µm
net856,5.94µm
_0122_,5.92µm
_0136_,5.92µm
_3222_,5.92µm
_2806_,5.9µm
_0970_,5.89µm
_1083_,5.86µm
_1874_,5.86µm
net323,5.86µm
net988,5.86µm
net1010,5.86µm
net1221,5.86µm
_0061_,5.84µm
_0091_,5.84µm
_0093_,5.84µm
_0120_,5.84µm
_0228_,5.84µm
_0268_,5.84µm
_0337_,5.84µm
_0343_,5.84µm
_0613_,5.84µm
_0931_,5.84µm
_0962_,5.84µm
_0979_,5.84µm
_1077_,5.84µm
_1489_,5.84µm
_1676_,5.84µm
_1737_,5.84µm
_1784_,5.84µm
_2075_,5.84µm
_2435_,5.84µm
_2959_,5.84µm
_3031_,5.84µm
net81,5.84µm
net817,5.84µm
_0845_,5.82µm
_1444_,5.82µm
_0655_,5.8µm
_0671_,5.8µm
_0965_,5.8µm
_0999_,5.8µm
_1088_,5.8µm
_1191_,5.8µm
_1469_,5.8µm
_2139_,5.8µm
_2448_,5.8µm
_2471_,5.8µm
_2472_,5.8µm
_2727_,5.8µm
_2739_,5.8µm
_2820_,5.8µm
_3094_,5.8µm
net971,5.8µm
net1105,5.8µm
net1157,5.8µm
_2070_,5.78µm
s_axi_wdata[61],5.77µm
_2469_,5.74µm
_2558_,5.74µm
_2589_,5.74µm
_2631_,5.74µm
_2760_,5.74µm
_2969_,5.74µm
_2994_,5.74µm
net174,5.74µm
net657,5.74µm
_1766_,5.735µm
_0233_,5.72µm
_0323_,5.72µm
_0704_,5.72µm
_1977_,5.72µm
_2478_,5.72µm
_2626_,5.72µm
_2784_,5.72µm
_2803_,5.72µm
_2928_,5.72µm
_2931_,5.72µm
_2948_,5.72µm
_2982_,5.72µm
_3113_,5.72µm
_3161_,5.72µm
_3206_,5.72µm
net59,5.72µm
_0883_,5.7µm
_1414_,5.68µm
_1674_,5.68µm
_2018_,5.68µm
_2029_,5.68µm
_2051_,5.68µm
_2442_,5.68µm
_2443_,5.68µm
_2444_,5.68µm
_2463_,5.68µm
_2566_,5.68µm
_2568_,5.68µm
_2575_,5.68µm
_2576_,5.68µm
_2580_,5.68µm
_2596_,5.68µm
_2613_,5.68µm
_2614_,5.68µm
_2642_,5.68µm
_2711_,5.68µm
_2725_,5.68µm
_3015_,5.68µm
_3040_,5.68µm
_3212_,5.68µm
u_read_arbiter.u_read_qos.age_m2\[2\],5.68µm
u_write_arbiter.aw_buf_addr\[64\],5.68µm
net955,5.68µm
net1241,5.68µm
m_axi_awprot[3],5.63µm
m_axi_wdata[10],5.63µm
m_axi_wdata[48],5.63µm
m_axi_wstrb[3],5.63µm
s_axi_araddr[39],5.63µm
s_axi_araddr[42],5.63µm
s_axi_araddr[47],5.63µm
s_axi_araddr[50],5.63µm
s_axi_araddr[61],5.63µm
s_axi_araddr[98],5.63µm
s_axi_bready[2],5.63µm
s_axi_rdata[0],5.63µm
s_axi_rdata[18],5.63µm
_0744_,5.62µm
_0865_,5.62µm
_0991_,5.62µm
_1027_,5.62µm
_1761_,5.62µm
_1771_,5.62µm
_2353_,5.62µm
_2361_,5.62µm
u_write_arbiter.aw_buf_addr\[7\],5.62µm
_1655_,5.6µm
_1711_,5.6µm
_1747_,5.6µm
_2357_,5.6µm
_2398_,5.6µm
_2991_,5.6µm
u_write_arbiter.aw_buf_addr\[103\],5.6µm
net925,5.6µm
_2998_,5.58µm
m_axi_wdata[35],5.57µm
_0475_,5.56µm
_2540_,5.56µm
_0024_,5.52µm
_0038_,5.52µm
_2169_,5.52µm
_0099_,5.5µm
_0188_,5.5µm
_0319_,5.5µm
_1499_,5.5µm
_0067_,5.48µm
_0491_,5.48µm
_1179_,5.48µm
_2916_,5.48µm
u_write_arbiter.aw_buf_addr\[119\],5.48µm
u_write_arbiter.w_buf_data\[32\],5.48µm
_0092_,5.46µm
_0212_,5.46µm
_0290_,5.46µm
_0321_,5.46µm
_0363_,5.46µm
_0426_,5.46µm
_1600_,5.46µm
_0603_,5.44µm
cfg_weight_m1[1],5.41µm
s_axi_araddr[49],5.41µm
s_axi_araddr[77],5.41µm
s_axi_arprot[5],5.41µm
s_axi_arprot[6],5.41µm
s_axi_awvalid[3],5.41µm
s_axi_wvalid[1],5.41µm
_1814_,5.4µm
_1989_,5.4µm
_2170_,5.4µm
net840,5.4µm
net977,5.4µm
net978,5.4µm
_0144_,5.385µm
_0140_,5.38µm
_0162_,5.38µm
_0172_,5.38µm
_0242_,5.38µm
_0292_,5.38µm
_0338_,5.38µm
_0403_,5.38µm
_0466_,5.38µm
_0651_,5.38µm
_0778_,5.38µm
_1367_,5.38µm
_1738_,5.38µm
_1803_,5.38µm
_2090_,5.38µm
_2098_,5.38µm
_2110_,5.38µm
_2165_,5.38µm
_2178_,5.38µm
_2323_,5.38µm
_2359_,5.38µm
_2520_,5.38µm
_2877_,5.38µm
m_axi_wdata[0],5.38µm
s_axi_rdata[126],5.38µm
u_write_arbiter.u_write_qos.budget_3\[3\],5.38µm
u_write_arbiter.w_buf_data\[103\],5.38µm
net728,5.38µm
net879,5.38µm
net1145,5.38µm
net1226,5.38µm
net1240,5.38µm
net1247,5.38µm
net1252,5.38µm
_1760_,5.375µm
_1000_,5.36µm
_2990_,5.36µm
_0109_,5.34µm
_0501_,5.34µm
_0804_,5.34µm
_1012_,5.34µm
_1183_,5.34µm
_1345_,5.34µm
_1373_,5.34µm
_1617_,5.34µm
_1700_,5.34µm
_1872_,5.34µm
_2025_,5.34µm
_2271_,5.34µm
_2297_,5.34µm
_2313_,5.34µm
_2346_,5.34µm
_2573_,5.34µm
_2604_,5.34µm
_2633_,5.34µm
_2742_,5.34µm
_2771_,5.34µm
_2976_,5.34µm
net408,5.34µm
net972,5.34µm
net983,5.34µm
net1003,5.34µm
net1022,5.34µm
net1071,5.34µm
net1087,5.34µm
net1155,5.34µm
net1174,5.34µm
s_axi_araddr[33],5.31µm
s_axi_araddr[60],5.31µm
s_axi_araddr[64],5.31µm
s_axi_araddr[72],5.31µm
s_axi_rdata[93],5.31µm
aresetn,5.29µm
cfg_weight_m1[3],5.29µm
m_axi_awaddr[17],5.29µm
m_axi_awaddr[47],5.29µm
m_axi_wdata[13],5.29µm
m_axi_wdata[15],5.29µm
m_axi_wdata[1],5.29µm
m_axi_wdata[21],5.29µm
m_axi_wdata[22],5.29µm
m_axi_wdata[24],5.29µm
m_axi_wdata[27],5.29µm
m_axi_wdata[28],5.29µm
m_axi_wdata[30],5.29µm
m_axi_wdata[31],5.29µm
m_axi_wdata[32],5.29µm
m_axi_wdata[38],5.29µm
m_axi_wdata[42],5.29µm
m_axi_wdata[47],5.29µm
m_axi_wdata[49],5.29µm
m_axi_wdata[54],5.29µm
m_axi_wdata[59],5.29µm
m_axi_wdata[5],5.29µm
m_axi_wdata[61],5.29µm
m_axi_wdata[62],5.29µm
m_axi_wdata[9],5.29µm
m_axi_wstrb[4],5.29µm
m_axi_wstrb[7],5.29µm
s_axi_araddr[35],5.29µm
s_axi_awaddr[101],5.29µm
s_axi_awaddr[65],5.29µm
s_axi_awaddr[67],5.29µm
s_axi_awaddr[69],5.29µm
s_axi_awaddr[76],5.29µm
s_axi_awaddr[77],5.29µm
s_axi_bready[3],5.29µm
s_axi_bresp[1],5.29µm
s_axi_bresp[4],5.29µm
s_axi_bresp[5],5.29µm
s_axi_rdata[102],5.29µm
s_axi_rdata[10],5.29µm
s_axi_rdata[112],5.29µm
s_axi_rdata[113],5.29µm
s_axi_rdata[115],5.29µm
s_axi_rdata[116],5.29µm
s_axi_rdata[123],5.29µm
s_axi_rdata[125],5.29µm
s_axi_rdata[127],5.29µm
s_axi_rdata[13],5.29µm
s_axi_rdata[17],5.29µm
s_axi_rdata[1],5.29µm
s_axi_rdata[24],5.29µm
s_axi_rdata[32],5.29µm
s_axi_rdata[34],5.29µm
s_axi_rdata[3],5.29µm
s_axi_rdata[41],5.29µm
s_axi_rdata[42],5.29µm
s_axi_rdata[49],5.29µm
s_axi_rdata[4],5.29µm
s_axi_rdata[50],5.29µm
s_axi_rdata[51],5.29µm
s_axi_rdata[52],5.29µm
s_axi_rdata[54],5.29µm
s_axi_rdata[73],5.29µm
s_axi_rdata[79],5.29µm
s_axi_rdata[84],5.29µm
s_axi_rdata[87],5.29µm
s_axi_rdata[88],5.29µm
s_axi_rdata[94],5.29µm
s_axi_rdata[96],5.29µm
s_axi_rdata[99],5.29µm
s_axi_wdata[90],5.29µm
s_axi_wdata[93],5.29µm
s_axi_wdata[9],5.29µm
s_axi_wstrb[14],5.29µm
s_axi_wstrb[15],5.29µm
_0806_,5.28µm
_0984_,5.28µm
_2265_,5.28µm
_2638_,5.28µm
_3182_,5.28µm
net72,5.28µm
net651,5.28µm
_0373_,5.26µm
_0499_,5.26µm
_0527_,5.26µm
_0666_,5.26µm
_0719_,5.26µm
_0777_,5.26µm
_1192_,5.26µm
_1197_,5.26µm
_1208_,5.26µm
_1410_,5.26µm
_1710_,5.26µm
_1804_,5.26µm
_1913_,5.26µm
_2163_,5.26µm
_2230_,5.26µm
_2391_,5.26µm
_2738_,5.26µm
_2788_,5.26µm
_3047_,5.26µm
u_write_arbiter.w_buf_data\[35\],5.26µm
net32,5.26µm
net63,5.26µm
net86,5.26µm
net618,5.26µm
net811,5.26µm
net814,5.26µm
net872,5.26µm
_0859_,5.24µm
_0812_,5.22µm
_0841_,5.22µm
_0893_,5.22µm
_1244_,5.22µm
_1678_,5.22µm
_1794_,5.22µm
_1935_,5.22µm
_1952_,5.22µm
_2057_,5.22µm
_2244_,5.22µm
_2491_,5.22µm
_2497_,5.22µm
_2543_,5.22µm
_2688_,5.22µm
_2794_,5.22µm
_2970_,5.22µm
_3126_,5.22µm
_3207_,5.22µm
_3216_,5.22µm
_3223_,5.22µm
net307,5.22µm
_0110_,5.18µm
_0769_,5.16µm
_1123_,5.16µm
_0003_,5.14µm
_0586_,5.14µm
_0648_,5.14µm
_0855_,5.14µm
_1186_,5.14µm
_1683_,5.14µm
_2257_,5.14µm
_2279_,5.14µm
_3037_,5.14µm
net1218,5.14µm
u_write_arbiter.aw_buf_addr\[33\],5.1µm
_0029_,5.06µm
_0668_,5.06µm
_2819_,5.06µm
_0035_,5.04µm
_0097_,5.04µm
_0129_,5.04µm
_0251_,5.04µm
_0345_,5.04µm
_0515_,5.04µm
_0698_,5.04µm
_1583_,5.04µm
_1808_,5.04µm
net1172,5.04µm
net1195,5.04µm
net1214,5.04µm
net1215,5.04µm
_0087_,5.02µm
_1481_,5.02µm
_0436_,5.005µm
_0065_,5µm
_0132_,5µm
_0139_,5µm
_0226_,5µm
_0511_,5µm
_1409_,5µm
net371,5µm
m_axi_awaddr[15],4.95µm
m_axi_wdata[16],4.95µm
m_axi_wdata[18],4.95µm
m_axi_wdata[19],4.95µm
m_axi_wdata[26],4.95µm
